Quantify Compound Summary Report 

Printed Tue Aug 20 12:15:31 2019

Compound 1:  PFBA

	Name	Sample Text	RT	Area	Primary Flags	IS Area	Conc.	%Dev	Vial	Std. Conc	(b/a)	S/N	Pk Width	Pk Kurt	Pk Skew	Pk Sigma	Height	Peak Start Time	Peak End Time	1º Ratio (Actual)	%Rec	Type
58	AED-0031514-PFAS-18Jul19-058	10 ng Recovery	1.009	16904	bb	12914	15.74		1:34		2.22	776	7.858	1.774	0.957	15.792	124372	0.856	1.353			Analyte
59	AED-0031514-PFAS-18Jul19-059	10 ng Recovery	1.009	17751	bb	13032	16.38		1:34		2.79	572	7.089	2.291	1.054	15.798	132506	0.856	1.435			Analyte
60	AED-0031514-PFAS-18Jul19-060	blank	0.673	5	bb	1			1:44		1.33	26	3.901	-0.209	0.153	4.908	110	0.626	0.739			Analyte
61	AED-0031514-PFAS-18Jul19-061	CV1 - 2 ng/ mL	1.040	1641	bb	8689	2.29		1:15		1.12	58	6.053	-0.428	-0.006	18.149	11190	0.876	1.224			Analyte
62	AED-0031514-PFAS-18Jul19-062	CV1 - 2 ng/ mL	1.040	1523	bb	8646	2.14		1:15		1.08	64	6.728	-0.186	-0.110	19.972	11037	0.853	1.243			Analyte
63	AED-0031514-PFAS-18Jul19-063	blank	1.314	4	bb	1			1:44		0.55	10	1.925	-0.085	-0.600	10.048	61	1.188	1.384			Analyte

Compound 2:  PFBA-13C4

	Name	Sample Text	RT	Area	Primary Flags	IS Area	Conc.	%Dev	Vial	Std. Conc	(b/a)	S/N	Pk Width	Pk Kurt	Pk Skew	Pk Sigma	Height	Peak Start Time	Peak End Time	1º Ratio (Actual)	%Rec	Type
1	AED-0031514-PFAS-18Jul19-001	CV1 - 2 ng/ mL	1.048	7528	MM		8.54	-14.6	1:15	10.000	1.66	101	8.275	0.036	0.208	18.332	50590	0.900	1.294		85.4	Analyte
2	AED-0031514-PFAS-18Jul19-002	CV1 - 2 ng/ mL	1.048	8411	MM		9.54	-4.6	1:15	10.000	1.71	71	8.020	0.342	0.357	18.571	53717	0.888	1.322		95.4	Analyte
3	AED-0031514-PFAS-18Jul19-003	blank	1.122	4	db		0.00		1:44		0.98	12	3.091	-0.533	0.031	5.159	72	1.076	1.169			Analyte
4	AED-0031514-PFAS-18Jul19-004	Natural SW 500 ml R1, 10 ng IS	1.083	959	bb		1.09	-89.1	1:17	10.000	1.66	72	5.828	0.601	0.581	10.413	9803	0.970	1.275		10.9	Analyte
5	AED-0031514-PFAS-18Jul19-005	Natural SW 500 ml R1, 10 ng IS	1.087	1130	bb		1.28	-87.2	1:17	10.000	1.91	563	4.678	0.430	0.553	9.744	12676	0.986	1.283		12.8	Analyte
6	AED-0031514-PFAS-18Jul19-006	blank	1.247	1	bb		0.00		1:44		0.90	3	3.243	-0.856	-0.059	8.040	10	1.185	1.306			Analyte
7	AED-0031514-PFAS-18Jul19-007	Natural SW 500 ml R2, 10 ng IS	1.091	1068	bb		1.21	-87.9	1:18	10.000	1.48	367	5.682	0.517	0.403	10.213	10988	0.962	1.283		12.1	Analyte
8	AED-0031514-PFAS-18Jul19-008	Natural SW 500 ml R2, 10 ng IS	1.079	1138	bb		1.29	-87.1	1:18	10.000	1.51	1440	5.192	0.472	0.494	9.719	12552	0.970	1.247		12.9	Analyte
9	AED-0031514-PFAS-18Jul19-009	blank	1.009	5	bb		0.01		1:44		0.31	20	3.198	3.384	-1.751	10.647	102	0.829	1.068			Analyte
10	AED-0031514-PFAS-18Jul19-010	Natural SW 500 ml R3, 10 ng IS	1.079	1251	bb		1.42	-85.8	1:19	10.000	1.28	914	5.473	0.069	0.376	9.980	13229	0.966	1.228		14.2	Analyte
11	AED-0031514-PFAS-18Jul19-011	Natural SW 500 ml R3, 10 ng IS	1.072	1236	bb		1.40	-86.0	1:19	10.000	2.04	257	6.691	0.454	0.406	9.941	12432	0.959	1.306		14.0	Analyte
12	AED-0031514-PFAS-18Jul19-012	blank	0.673	0	dd		0.00		1:44		1.12	2	1.973	-0.964	0.130	6.054	7	0.634	0.720			Analyte
13	AED-0031514-PFAS-18Jul19-013	Natural SW 1L R1, 10 ng IS	1.060	783	bb		0.89	-91.1	1:20	10.000	2.07	116	5.355	0.750	0.654	10.604	8013	0.954	1.283		8.9	Analyte
14	AED-0031514-PFAS-18Jul19-014	Natural SW 1L R1, 10 ng IS	1.064	923	bb		1.05	-89.5	1:20	10.000	1.58	75	4.586	0.417	0.544	10.335	10061	0.951	1.244		10.5	Analyte
15	AED-0031514-PFAS-18Jul19-015	blank	0.974	1	bb		0.00		1:44		0.38	2	2.338	-0.867	-0.177	9.924	8	0.845	1.025			Analyte
16	AED-0031514-PFAS-18Jul19-016	Natural SW 1L R2, 10 ng IS	1.076	909	bb		1.03	-89.7	1:21	10.000	1.22	122	4.532	0.332	0.346	9.480	10307	0.954	1.228		10.3	Analyte
17	AED-0031514-PFAS-18Jul19-017	Natural SW 1L R2, 10 ng IS	1.072	886	bb		1.01	-89.9	1:21	10.000	1.75	375	5.594	0.487	0.489	9.847	9524	0.962	1.263		10.1	Analyte
18	AED-0031514-PFAS-18Jul19-018	blank	1.072	1	bb		0.00		1:44		1.06	1	5.543	-0.716	0.112	11.080	8	0.986	1.165			Analyte
19	AED-0031514-PFAS-18Jul19-019	Natural SW 1L R3, 10 ng IS	1.064	798	bb		0.91	-90.9	1:22	10.000	1.66	112	5.352	0.378	0.598	10.401	8452	0.954	1.247		9.1	Analyte
20	AED-0031514-PFAS-18Jul19-020	Natural SW 1L R3, 10 ng IS	1.072	841	bb		0.95	-90.5	1:22	10.000	2.26	33	6.281	1.312	0.624	10.903	8221	0.962	1.322		9.5	Analyte
21	AED-0031514-PFAS-18Jul19-021	blank	1.001	0	db		0.00		1:44		1.88	3	2.614	-0.738	0.337	6.186	9	0.970	1.064			Analyte
22	AED-0031514-PFAS-18Jul19-022	Natural SW 2L R1, 10 ng IS	1.083	440	bb		0.50	-97.5	1:23	20.000	1.86	139	5.074	0.744	0.592	10.189	4756	0.966	1.306		2.5	Analyte
23	AED-0031514-PFAS-18Jul19-023	Natural SW 2L R1, 10 ng IS	1.091	433	bb		0.49	-97.5	1:23	20.000	1.05	1133	5.367	0.017	0.146	9.127	4871	0.970	1.220		2.5	Analyte
24	AED-0031514-PFAS-18Jul19-024	blank	0.849	1	bb		0.00		1:44		0.35	2	3.304	-1.018	-0.117	13.892	6	0.697	0.904			Analyte
25	AED-0031514-PFAS-18Jul19-025	Natural SW 2L R2, 10 ng IS	1.076	460	bb		0.52	-97.4	1:24	20.000	2.07	831	4.595	1.122	0.602	9.264	5456	0.974	1.291		2.6	Analyte
26	AED-0031514-PFAS-18Jul19-026	Natural SW 2L R2, 10 ng IS	1.076	533	bb		0.60	-97.0	1:24	20.000	1.74	67	5.271	0.643	0.312	10.128	5594	0.939	1.318		3.0	Analyte
27	AED-0031514-PFAS-18Jul19-027	blank	1.064	2	bb		0.00		1:44		1.00	12	2.968	-0.549	0.022	4.847	49	1.021	1.111			Analyte
28	AED-0031514-PFAS-18Jul19-028	Natural SW 2L R3, 10 ng IS	1.072	495	bb		0.56	-97.2	1:25	20.000	1.78	325	4.982	0.227	0.543	11.129	4920	0.962	1.267		2.8	Analyte
29	AED-0031514-PFAS-18Jul19-029	Natural SW 2L R3, 10 ng IS	1.064	582	bb		0.66	-96.7	1:25	20.000	1.45	254	4.365	0.332	0.547	9.363	6932	0.958	1.220		3.3	Analyte
30	AED-0031514-PFAS-18Jul19-030	blank	1.158	5	bb		0.01		1:44		2.16	26	2.041	1.323	0.760	5.837	101	1.111	1.259			Analyte
31	AED-0031514-PFAS-18Jul19-031	pH adj SW 500ml R1, 10 ng IS	1.072	2938	bb		3.33	-66.7	1:26	10.000	1.99	212	4.828	1.021	0.676	10.462	31280	0.955	1.310		33.3	Analyte
32	AED-0031514-PFAS-18Jul19-032	pH adj SW 500ml R1, 10 ng IS	1.076	3097	bb		3.51	-64.9	1:26	10.000	1.99	4363	5.611	1.657	0.773	10.711	31839	0.954	1.318		35.1	Analyte
33	AED-0031514-PFAS-18Jul19-033	blank	1.017	1	bb		0.00		1:44		1.46	4	2.960	-0.671	0.170	9.689	17	0.951	1.115			Analyte
34	AED-0031514-PFAS-18Jul19-034	CV2 - 20 ng/ mL	1.044	6673	bb		7.57	-24.3	1:16	10.000	0.88	147	6.712	-0.277	-0.329	23.414	46071	0.806	1.255		75.7	Analyte
35	AED-0031514-PFAS-18Jul19-035	CV2 - 20 ng/ mL	1.041	7805	MM		8.86	-11.4	1:16	10.000	1.86	48	7.352	0.355	0.350	20.156	48407	0.872	1.353		88.6	Analyte
36	AED-0031514-PFAS-18Jul19-036	blank	1.052	4	bb		0.00		1:44		1.59	10	3.233	0.666	0.563	9.461	59	0.970	1.185			Analyte
37	AED-0031514-PFAS-18Jul19-037	pH adj SW 500ml R2, 10 ng IS	1.076	2703	bb		3.07	-69.3	1:27	10.000	1.53	220	5.592	0.690	0.645	10.587	28405	0.955	1.263		30.7	Analyte
38	AED-0031514-PFAS-18Jul19-038	pH adj SW 500ml R2, 10 ng IS	1.079	2915	bb		3.31	-66.9	1:27	10.000	1.75	535	5.497	0.904	0.643	10.928	29319	0.955	1.302		33.1	Analyte
39	AED-0031514-PFAS-18Jul19-039	blank	1.005	4	bb		0.00		1:44		0.60	13	3.203	-0.302	-0.288	6.520	80	0.931	1.052			Analyte
40	AED-0031514-PFAS-18Jul19-040	pH adj SW 500ml R3, 10 ng IS	1.079	3089	bb		3.50	-65.0	1:28	10.000	1.96	4625	5.206	1.586	0.860	10.920	32729	0.958	1.322		35.0	Analyte
41	AED-0031514-PFAS-18Jul19-041	pH adj SW 500ml R3, 10 ng IS	1.076	3197	bb		3.63	-63.7	1:28	10.000	1.71	409	4.959	1.594	0.826	10.720	34676	0.943	1.306		36.3	Analyte
42	AED-0031514-PFAS-18Jul19-042	blank	1.025	9	bb		0.01		1:44		1.08	4	3.742	-0.037	0.213	7.247	149	0.955	1.103			Analyte
43	AED-0031514-PFAS-18Jul19-043	pH adj SW 1L R1, 10 ng IS	1.060	3157	bb		3.58	-64.2	1:29	10.000	1.58	6428	4.848	0.566	0.586	10.239	33801	0.943	1.247		35.8	Analyte
44	AED-0031514-PFAS-18Jul19-044	pH adj SW 1L R1, 10 ng IS	1.064	3059	bb		3.47	-65.3	1:29	10.000	2.05	168	5.154	1.395	0.745	10.388	33048	0.943	1.318		34.7	Analyte
45	AED-0031514-PFAS-18Jul19-045	blank	1.033	4	bb		0.00		1:44		0.79	3	3.132	-0.352	0.001	6.185	70	0.966	1.087			Analyte
46	AED-0031514-PFAS-18Jul19-046	pH adj SW 1L R2, 10 ng IS	1.060	3085	bb		3.50	-65.0	1:30	10.000	2.26	9413	5.057	1.516	0.853	10.577	33347	0.954	1.302		35.0	Analyte
47	AED-0031514-PFAS-18Jul19-047	pH adj SW 1L R2, 10 ng IS	1.064	3211	bb		3.64	-63.6	1:30	10.000	2.10	33	5.474	1.759	0.817	10.436	34095	0.947	1.314		36.4	Analyte
48	AED-0031514-PFAS-18Jul19-048	blank	1.068	0	bb		0.00		1:44		1.20	1	3.187	-0.803	0.134	8.556	6	1.009	1.142			Analyte
49	AED-0031514-PFAS-18Jul19-049	pH adj SW 1L R3, 10 ng IS	1.072	2805	bb		3.18	-68.2	1:31	10.000	1.92	336	5.097	1.389	0.735	10.372	30357	0.958	1.294		31.8	Analyte
50	AED-0031514-PFAS-18Jul19-050	pH adj SW 1L R3, 10 ng IS	1.072	2846	bb		3.23	-67.7	1:31	10.000	2.10	252	5.115	1.493	0.714	10.083	31013	0.954	1.318		32.3	Analyte
51	AED-0031514-PFAS-18Jul19-051	blank	1.033	9	bd		0.01		1:44		0.58	34	2.040	0.043	-0.352	5.898	189	0.962	1.076			Analyte
52	AED-0031514-PFAS-18Jul19-052	pH adj SW 2L R1, 10 ng IS	1.072	2118	bb		2.40	-88.0	1:32	20.000	1.81	1785	5.399	1.454	0.736	10.437	22630	0.947	1.302		12.0	Analyte
53	AED-0031514-PFAS-18Jul19-053	pH adj SW 2L R1, 10 ng IS	1.072	2041	bb		2.32	-88.4	1:32	20.000	1.59	439	5.415	1.265	0.791	10.323	22306	0.951	1.267		11.6	Analyte
54	AED-0031514-PFAS-18Jul19-054	blank	1.263	1	dd		0.00		1:44		0.91	4	2.654	-0.839	-0.147	5.973	18	1.216	1.306			Analyte
55	AED-0031514-PFAS-18Jul19-055	pH adj SW 2L R2, 10 ng IS	1.083	1476	bb		1.67	-91.6	1:33	20.000	1.77	940	4.267	0.756	0.630	9.091	17871	0.986	1.259		8.4	Analyte
56	AED-0031514-PFAS-18Jul19-056	pH adj SW 2L R2, 10 ng IS	1.083	1550	bb		1.76	-91.2	1:33	20.000	1.85	343	4.839	1.083	0.715	9.990	17616	0.974	1.287		8.8	Analyte
57	AED-0031514-PFAS-18Jul19-057	blank	0.904	1	dd		0.00		1:44		0.84	1	1.577	-1.036	-0.051	13.153	7	0.802	0.990			Analyte
58	AED-0031514-PFAS-18Jul19-058	10 ng Recovery	1.013	12914	bb		14.65	46.5	1:34	10.000	1.91	2309	7.181	1.218	0.793	15.270	96220	0.849	1.329		146.5	Analyte
59	AED-0031514-PFAS-18Jul19-059	10 ng Recovery	1.009	13032	bb		14.79	47.9	1:34	10.000	2.37	412	7.691	1.492	0.898	15.530	95891	0.853	1.380		147.9	Analyte
60	AED-0031514-PFAS-18Jul19-060	blank	1.115	1	bb		0.00		1:44		0.82	3	4.147	-0.684	-0.082	7.763	12	1.044	1.173			Analyte
61	AED-0031514-PFAS-18Jul19-061	CV1 - 2 ng/ mL	1.048	8689	MM		9.86	-1.4	1:15	10.000	1.65	89	7.663	0.288	0.168	20.486	51505	0.861	1.357		98.6	Analyte
62	AED-0031514-PFAS-18Jul19-062	CV1 - 2 ng/ mL	1.041	8646	MM		9.81	-1.9	1:15	10.000	1.71	212	6.820	0.203	0.099	21.513	51340	0.849	1.369		98.1	Analyte
63	AED-0031514-PFAS-18Jul19-063	blank	1.056	1	db		0.00		1:44		1.30	1	1.506	-0.645	0.062	9.981	10	0.986	1.150			Analyte

Compound 3:  PFPeA

	Name	Sample Text	RT	Area	Primary Flags	IS Area	Conc.	%Dev	Vial	Std. Conc	(b/a)	S/N	Pk Width	Pk Kurt	Pk Skew	Pk Sigma	Height	Peak Start Time	Peak End Time	1º Ratio (Actual)	%Rec	Type
1	AED-0031514-PFAS-18Jul19-001	CV1 - 2 ng/ mL	2.769	4479	bb	10358	3.06		1:15		0.59	657	10.162	-0.517	-0.336	39.474	15781	2.252	3.073			Analyte
2	AED-0031514-PFAS-18Jul19-002	CV1 - 2 ng/ mL	2.716	4680	bb	10669	3.10		1:15		0.69	401	11.485	-0.326	-0.413	40.660	15979	2.193	3.082			Analyte
3	AED-0031514-PFAS-18Jul19-003	blank	1.795	3	bd	1			1:44		0.31	2	11.959	-0.870	-0.376	38.189	9	1.357	1.931			Analyte
4	AED-0031514-PFAS-18Jul19-004	Natural SW 500 ml R1, 10 ng IS	2.750	1998	bb	8464	1.67		1:17		1.75	244	10.157	1.956	0.715	24.300	11794	2.538	3.125			Analyte
5	AED-0031514-PFAS-18Jul19-005	Natural SW 500 ml R1, 10 ng IS	2.769	1850	bb	8634	1.52		1:17		1.40	48	9.265	0.547	0.232	22.181	11714	2.566	3.054			Analyte
6	AED-0031514-PFAS-18Jul19-006	blank	1.959	2	bb	1			1:44		1.27	3	8.122	-0.773	0.018	35.463	8	1.720	2.265			Analyte
7	AED-0031514-PFAS-18Jul19-007	Natural SW 500 ml R2, 10 ng IS	2.762	2022	bb	9275	1.55		1:18		1.17	203	9.602	0.082	0.075	21.599	12524	2.557	3.005			Analyte
8	AED-0031514-PFAS-18Jul19-008	Natural SW 500 ml R2, 10 ng IS	2.760	1730	bb	9346	1.32		1:18		1.53	126	9.811	1.040	0.475	23.868	10949	2.569	3.051			Analyte
9	AED-0031514-PFAS-18Jul19-009	blank	2.341	3	db	1			1:44		1.16	5	7.275	-0.419	0.132	19.324	23	2.219	2.486			Analyte
10	AED-0031514-PFAS-18Jul19-010	Natural SW 500 ml R3, 10 ng IS	2.766	2115	bb	10383	1.45		1:19		2.14	264	9.822	4.292	1.587	30.802	12785	2.553	3.220			Analyte
11	AED-0031514-PFAS-18Jul19-011	Natural SW 500 ml R3, 10 ng IS	2.750	2157	bb	9968	1.54		1:19		1.16	199	10.004	0.126	0.173	22.330	13092	2.547	2.987			Analyte
12	AED-0031514-PFAS-18Jul19-012	blank	1.342	3	dd	1			1:44		1.83	2	7.507	-1.142	-0.015	28.716	9	1.201	1.599			Analyte
13	AED-0031514-PFAS-18Jul19-013	Natural SW 1L R1, 10 ng IS	2.732	4085	bb	10103	2.86		1:20		1.16	773	9.946	0.309	0.218	22.756	25082	2.523	2.977			Analyte
